verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label,значение_ru_all,значение_ru_доп,ru_inf_ipf_all,ru_inf_pf_all,ru_present_1sg_all,ru_future_1sg_all,ru_past_ipf_mf_all,ru_past_pf_mf_all,ru_future_pf_1sg_all,ru_conditional_pf_1sg_all,ru_gerund_pf_all,ru_imperative_2sg_all,ru_1pl_pf_all,ru_display_infinitive,ru_display_perfective,ru_te_prompt,agentivity,ru_passive_prompt,passive_naturalness,passive_prompt_strategy,ru_causative_prompt,ru_causative_passive_prompt,train_general,train_potential,train_passive,train_passive_context,train_causative,train_causative_passive,train_imperative,train_volitional,train_desire,train_benefactive,train_request,train_advice,train_toki,ru_causative_alt_prompt
iku,行く,いく,iku,идти,N5,godan-ku,ik,行き,行った,行って,行かない,行けば,行ったら,行ける,,行かれる,行かせる,行かせられる,行け,行くな,行こう,行きたい,行かなければ,行かなきゃ,行かなくちゃ,идти,пойти,иду,буду идти,шёл / шла,пошёл / пошла,пойду,пойду,пойдя,иди,пойдём,Пассив: идти,заставить пойти,быть вынужденным пойти,行,行,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,って,tte,って,tte,った,tta,った,tta,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,"идти, ехать",ехать,идти / ехать,пойти / поехать,иду / еду,буду идти / ехать,шёл / шла; ехал(а),пошёл / пошла; поехал(а),пойду / поеду,пойду / поеду,пойдя / поехав,иди / езжай,пойдём / поедем,идти,пойти,пойти и затем…,agentive,Пассив: идти,contextual,grammar_label,заставить пойти,быть вынужденным пойти,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить пойти
iru,要る,いる,iru,быть нужным,N5,godan-ru,i,要り,要った,要って,要らない,要れば,要ったら,要れる,,要られる,要らせる,要らせられる,要れ,要るな,要ろう,要りたい,要らなければ,要らなきゃ,要らなくちゃ,требоваться,потребоваться,требуется,буду требоваться,требовалось,потребовалось,потребуется,потребуется,потребовавшись,,,Пассив: требоваться,заставить потребоваться,быть вынужденным потребоваться,要,要,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,быть нужным; требоваться,требоваться,требоваться,потребоваться,требуется,буду требоваться,требовалось,потребовалось,потребуется,потребуется,потребовавшись,—,—,требоваться,потребоваться,потребоваться и затем…,non_agentive,Пассив: требоваться,exclude,grammar_label,заставить потребоваться,быть вынужденным потребоваться,1,0,0,0,0,0,0,0,0,0,0,0,1,разрешить потребоваться
ireru,入れる,いれる,ireru,класть внутрь,N5,ichidan,ire,入れ,入れた,入れて,入れない,入れれば,入れたら,入れられる,入れれる,入れられる,入れさせる,入れさせられる,入れろ,入れるな,入れよう,入れたい,入れなければ,入れなきゃ,入れなくちゃ,класть,положить,кладу,буду класть,клал(а),положил(а),положу,положу,положив,положи,положим,Пассив: класть,заставить положить,быть вынужденным положить,入れ,入れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,класть внутрь; включать,включать,класть / включать,положить / включить,кладу / включаю,буду класть / включать,клал(а) / включал(а),положил(а) / включил(а),положу / включу,положу / включу,положив / включив,положи / включи,положим / включим,класть,положить,положить и затем…,agentive,Пассив: класть,contextual,grammar_label,заставить положить,быть вынужденным положить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить положить
utau,歌う,うたう,utau,петь,N5,godan-u,uta,歌い,歌った,歌って,歌わない,歌えば,歌ったら,歌える,,歌われる,歌わせる,歌わせられる,歌え,歌うな,歌おう,歌いたい,歌わなければ,歌わなきゃ,歌わなくちゃ,петь,спеть,пою,буду петь,пел(а),спел(а),спою,спою,спев,спой,споём,Пассив: петь,заставить спеть,быть вынужденным спеть,歌,歌,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,,петь,,петь,спеть,пою,буду петь,пел(а),спел(а),спою,спою,спев,спой,споём,петь,спеть,спеть и затем…,agentive,Пассив: петь,contextual,grammar_label,заставить спеть,быть вынужденным спеть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить спеть
umareru,生まれる,うまれる,umareru,рождаться,N5,ichidan,umare,生まれ,生まれた,生まれて,生まれない,生まれれば,生まれたら,生まれられる,生まれれる,生まれられる,生まれさせる,生まれさせられる,生まれろ,生まれるな,生まれよう,生まれたい,生まれなければ,生まれなきゃ,生まれなくちゃ,рождаться,родиться,рождаюсь,буду рождаться,рождался(ась),родился(ась),рожусь,рожусь,родившись,,,Пассив: рождаться,заставить родиться,быть вынужденным родиться,生まれ,生まれ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,рождаться,,рождаться,родиться,рождаюсь,буду рождаться,рождался(ась),родился(ась),рожусь,рожусь,родившись,—,—,рождаться,родиться,родиться и затем…,non_agentive,Пассив: рождаться,exclude,grammar_label,заставить родиться,быть вынужденным родиться,1,0,0,0,0,0,0,0,0,0,0,0,1,разрешить родиться
uru,売る,うる,uru,продавать,N5,godan-ru,u,売り,売った,売って,売らない,売れば,売ったら,売れる,,売られる,売らせる,売らせられる,売れ,売るな,売ろう,売りたい,売らなければ,売らなきゃ,売らなくちゃ,продавать,продать,продаю,буду продавать,продавал(а),продал(а),продам,продам,продав,продай,продадим,быть проданным,заставить продать,быть вынужденным продать,売,売,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,продавать,,продавать,продать,продаю,буду продавать,продавал(а),продал(а),продам,продам,продав,продай,продадим,продавать,продать,продать и затем…,agentive,быть проданным,natural,natural,заставить продать,быть вынужденным продать,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить продать
okiru,起きる,おきる,okiru,вставать,N5,ichidan,oki,起き,起きた,起きて,起きない,起きれば,起きたら,起きられる,起きれる,起きられる,起きさせる,起きさせられる,起きろ,起きるな,起きよう,起きたい,起きなければ,起きなきゃ,起きなくちゃ,вставать,встать,встаю,буду вставать,вставал(а),встал(а),встану,встану,встав,вставай,встанем,Пассив: вставать,заставить встать,быть вынужденным встать,起き,起き,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,"вставать, просыпаться",просыпаться,вставать / просыпаться,встать / проснуться,встаю / просыпаюсь,буду вставать / просыпаться,вставал(а) / просыпался(ась),встал(а) / проснулся(лась),встану / проснусь,встану / проснусь,встав / проснувшись,вставай,встанем,вставать,встать,встать и затем…,agentive,Пассив: вставать,contextual,grammar_label,заставить встать,быть вынужденным встать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить встать
oku,置く,おく,oku,класть,N5,godan-ku,ok,置き,置いた,置いて,置かない,置けば,置いたら,置ける,,置かれる,置かせる,置かせられる,置け,置くな,置こう,置きたい,置かなければ,置かなきゃ,置かなくちゃ,класть,положить,кладу,буду класть,клал(а),положил(а),положу,положу,положив,положи,положим,быть поставленным,заставить положить,быть вынужденным положить,置,置,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,класть; ставить,ставить,класть / ставить,положить / поставить,кладу / ставлю,буду класть / ставить,клал(а) / ставил(а),положил(а) / поставил(а),положу / поставлю,положу / поставлю,положив / поставив,положи / поставь,положим / поставим,класть,положить,положить и затем…,agentive,быть поставленным,natural,natural,заставить положить,быть вынужденным положить,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить положить
oshieru,教える,おしえる,oshieru,обучать,N5,ichidan,oshie,教え,教えた,教えて,教えない,教えれば,教えたら,教えられる,教えれる,教えられる,教えさせる,教えさせられる,教えろ,教えるな,教えよう,教えたい,教えなければ,教えなきゃ,教えなくちゃ,учить,научить,учу,буду учить,учил(а),научил(а),научу,научу,научив,научи,научим,Пассив: учить,заставить научить,быть вынужденным научить,教え,教え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,"обучать, сообщать",сообщать,учить / сообщать,научить / сообщить,учу / сообщаю,буду учить / сообщать,учил(а) / сообщал(а),научил(а) / сообщил(а),научу / сообщу,научу / сообщу,научив / сообщив,научи / сообщи,научим / сообщим,учить,научить,научить и затем…,agentive,Пассив: учить,contextual,grammar_label,заставить научить,быть вынужденным научить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить научить
osu,押す,おす,osu,нажимать,N5,godan-su,os,押し,押した,押して,押さない,押せば,押したら,押せる,,押される,押させる,押させられる,押せ,押すな,押そう,押したい,押さなければ,押さなきゃ,押さなくちゃ,нажимать,нажать,нажимаю,буду нажимать,нажимал(а),нажал(а),нажму,нажму,нажав,нажми,нажмём,быть нажатым,заставить нажать,быть вынужденным нажать,押,押,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,,нажимать; толкать,толкать,нажимать / толкать,нажать / толкнуть,нажимаю / толкаю,буду нажимать / толкать,нажимал(а) / толкал(а),нажал(а) / толкнул(а),нажму / толкну,нажму / толкну,нажав / толкнув,нажми / толкни,нажмём / толкнём,нажимать,нажать,нажать и затем…,agentive,быть нажатым,natural,natural,заставить нажать,быть вынужденным нажать,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить нажать
oboeru,覚える,おぼえる,oboeru,запоминать,N5,ichidan,oboe,覚え,覚えた,覚えて,覚えない,覚えれば,覚えたら,覚えられる,覚えれる,覚えられる,覚えさせる,覚えさせられる,覚えろ,覚えるな,覚えよう,覚えたい,覚えなければ,覚えなきゃ,覚えなくちゃ,запоминать,запомнить,запоминаю,буду запоминать,запоминал(а),запомнил(а),запомню,запомню,запомнив,запомни,запомним,Пассив: запоминать,заставить запомнить,быть вынужденным запомнить,覚え,覚え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,запоминать,,запоминать,запомнить,запоминаю,буду запоминать,запоминал(а),запомнил(а),запомню,запомню,запомнив,запомни,запомним,запоминать,запомнить,запомнить и затем…,agentive,Пассив: запоминать,contextual,grammar_label,заставить запомнить,быть вынужденным запомнить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить запомнить
